iter	Passed	Remaining
912	4038	384
913	4042	380
914	4047	375
915	4051	371
916	4055	367
917	4060	362
918	4064	358
919	4069	353
920	4073	349
921	4077	344
922	4082	340
923	4086	336
924	4091	331
925	4095	327
926	4100	322
927	4105	318
928	4109	314
929	4114	309
930	4119	305
931	4123	300
932	4128	296
933	4132	292
934	4137	287
935	4141	283
936	4146	278
937	4152	274
938	4157	270
939	4161	265
940	4165	261
941	4170	256
942	4174	252
943	4178	247
944	4183	243
945	4187	239
946	4191	234
947	4196	230
948	4201	225
949	4205	221
950	4210	216
951	4214	212
952	4219	208
953	4223	203
954	4228	199
955	4233	194
956	4237	190
957	4242	185
958	4246	181
959	4251	177
960	4255	172
961	4260	168
962	4266	163
963	4272	159
964	4276	155
965	4281	150
966	4286	146
967	4290	141
968	4295	137
969	4300	132
970	4305	128
971	4310	124
972	4315	119
973	4319	115
974	4324	110
975	4328	106
976	4333	102
977	4338	97
978	4344	93
979	4348	88
980	4352	84
981	4357	79
982	4362	75
983	4366	71
984	4370	66
985	4375	62
986	4380	57
987	4385	53
988	4389	48
989	4394	44
990	4398	39
991	4403	35
992	4409	31
993	4415	26
994	4419	22
995	4424	17
996	4429	13
997	4433	8
998	4438	4
999	4442	0
